,éqâπ,à íu,ï˚ñ@,å˚äWÅEâ~êO,çAì™âª,ê∫ë—êUìÆ,éqâπ,à íu,ï˚ñ@,å˚äWÅEâ~êO,çAì™âª,ê∫ë—êUìÆ
1,p,1,1,0,0,1,p,10000000000000001,10000001,100001,1001,110
2,ph,1,1,0,1,1,ph,10000000000000001,10000001,100001,1010,110
3,px,1,1,0,2,1,px,10000000000000001,10000001,100001,1100,110
4,pj,1,1,2,0,1,pj,10000000000000001,10000001,100100,1001,110
5,pjh,1,1,2,1,1,pjh,10000000000000001,10000001,100100,1010,110
6,pjx,1,1,2,2,1,pjx,10000000000000001,10000001,100100,1100,110
7,b,1,1,0,0,0,b,10000000000000001,10000001,100001,1001,101
8,bj,1,1,2,0,0,bj,10000000000000001,10000001,100100,1001,101
9,hw,1,3,0,0,1,hw,10000000000000001,10000100,100001,1001,110
10,?,11,1,0,1,0,?,10000010000000000,10000001,100001,1010,101
11,!,11,7,0,0,0,!,10000010000000000,11000000,100001,1001,101
12,h,11,2,0,0,1,h,10000010000000000,10000010,100001,1001,110
13,h!,11,2,0,0,0,h!,10000010000000000,10000010,100001,1001,101
14,m,1,4,0,0,0,m,10000000000000001,10001000,100001,1001,101
15,!m,1,4,0,1,0,!m,10000000000000001,10001000,100001,1010,101
16,?m,1,4,0,2,0,?m,10000000000000001,10001000,100001,1100,101
17,mj,1,4,2,0,0,mj,10000000000000001,10001000,100100,1001,101
18,!mj,1,4,2,1,0,!mj,10000000000000001,10001000,100100,1010,101
19,?mj,1,4,2,2,0,?mj,10000000000000001,10001000,100100,1100,101
20,f,2,3,0,0,1,f,10000000000000010,10000100,100001,1001,110
21,v,2,3,0,0,1,v,10000000000000010,10000100,100001,1001,110
22,t,4,1,0,0,1,t,10000000000001000,10000001,100001,1001,110
23,th,4,1,0,1,1,th,10000000000001000,10000001,100001,1010,110
24,tx,4,1,0,2,1,tx,10000000000001000,10000001,100001,1100,110
25,ts3,3,2,0,0,0,ts3,10000000000000100,10000010,100001,1001,101
26,tj,4,1,2,0,1,tj,10000000000001000,10000001,100100,1001,110
27,tjh,4,1,2,1,1,tjh,10000000000001000,10000001,100100,1010,110
28,tjx,4,1,2,2,1,tjx,10000000000001000,10000001,100100,1100,110
29,d,4,1,0,0,0,d,10000000000001000,10000001,100001,1001,101
30,ts,4,2,0,0,1,ts,10000000000001000,10000010,100001,1001,110
31,tsh,4,2,0,1,1,tsh,10000000000001000,10000010,100001,1010,110
32,tsx,4,2,0,2,1,tsx,10000000000001000,10000010,100001,1100,110
33,ts2,4,2,2,0,1,ts2,10000000000001000,10000010,100100,1001,110
34,ts2h,4,2,2,1,1,ts2h,10000000000001000,10000010,100100,1010,110
35,ts2x,4,2,2,2,1,ts2x,10000000000001000,10000010,100100,1100,110
36,dz,4,2,0,0,0,dz,10000000000001000,10000010,100001,1001,101
37,dz1,4,2,1,0,0,dz1,10000000000001000,10000010,100010,1001,101
38,dz2,4,2,2,0,0,dz2,10000000000001000,10000010,100100,1001,101
39,s,4,3,0,0,1,s,10000000000001000,10000100,100001,1001,110
40,s1,4,3,1,0,1,s1,10000000000001000,10000100,100010,1001,110
41,s2,4,3,2,0,1,s2,10000000000001000,10000100,100100,1001,110
42,z,4,3,0,0,0,z,10000000000001000,10000100,100001,1001,101
43,z2,4,3,2,0,0,z2,10000000000001000,10000100,100100,1001,101
44,n,4,4,0,0,0,n,10000000000001000,10001000,100001,1001,101
45,!n,4,4,0,1,0,!n,10000000000001000,10001000,100001,1010,101
46,?n,4,4,0,2,0,?n,10000000000001000,10001000,100001,1100,101
47,nj,4,4,2,0,0,nj,10000000000001000,10001000,100100,1001,101
48,!nj,4,4,2,1,0,!nj,10000000000001000,10001000,100100,1010,101
49,?nj,4,4,2,2,0,?nj,10000000000001000,10001000,100100,1100,101
50,r,4,5,0,0,0,r,10000000000001000,10010000,100001,1001,101
51,?r,4,5,0,1,0,?r,10000000000001000,10010000,100001,1010,101
52,rj,4,5,2,0,0,rj,10000000000001000,10010000,100100,1001,101
53,hj,7,3,0,0,1,hj,10000000001000000,10000100,100001,1001,110
54,k,8,1,0,0,1,k,10000000010000000,10000001,100001,1001,110
55,kh,8,1,0,1,1,kh,10000000010000000,10000001,100001,1010,110
56,kx,8,1,0,2,1,kx,10000000010000000,10000001,100001,1100,110
57,kj,8,1,2,0,1,kj,10000000010000000,10000001,100100,1001,110
58,kjh,8,1,2,1,1,kjh,10000000010000000,10000001,100100,1010,110
59,kjx,8,1,2,2,1,kjx,10000000010000000,10000001,100100,1100,110
60,kw,8,1,4,0,1,kw,10000000010000000,10000001,110000,1001,110
61,kwh,8,1,4,1,1,kwh,10000000010000000,10000001,110000,1010,110
62,kwx,8,1,4,2,1,kwx,10000000010000000,10000001,110000,1100,110
63,g,8,1,0,0,0,g,10000000010000000,10000001,100001,1001,101
64,gj,8,1,2,0,0,gj,10000000010000000,10000001,100100,1001,101
65,gw,8,1,4,0,0,gw,10000000010000000,10000001,110000,1001,101
66,ng,8,1,1,0,0,ng,10000000010000000,10000001,100010,1001,101
67,j,7,7,0,0,0,j,10000000001000000,11000000,100001,1001,101
68,?j,7,7,0,1,0,?j,10000000001000000,11000000,100001,1010,101
69,!j,7,7,0,2,0,!j,10000000001000000,11000000,100001,1100,101
70,w,1,7,0,0,0,w,10000000000000001,11000000,100001,1001,101
71,?w,1,7,0,1,0,?w,10000000000000001,11000000,100001,1010,101
72,!w,1,7,0,2,0,!w,10000000000000001,11000000,100001,1100,101
73,n2,12,4,0,0,0,n2,10000100000000000,10001000,100001,1001,101
74,?n2,12,4,0,1,0,?n2,10000100000000000,10001000,100001,1010,101
75,!n2,12,4,0,2,0,!n2,10000100000000000,10001000,100001,1100,101
76,n2:,13,4,0,0,0,n2:,10001000000000000,10001000,100001,1001,101
77,?n2:,14,4,0,0,0,?n2:,10010000000000000,10001000,100001,1001,101
78,in2,15,4,0,0,0,in2,10100000000000000,10001000,100001,1001,101
79,?in2,16,4,0,0,0,?in2,11000000000000000,10001000,100001,1001,101
80,q,12,1,0,0,0,q,10000100000000000,10000001,100001,1001,101
81,l,7,1,0,0,1,l,10000000001000000,10000001,100001,1001,110
82,-1,-1,-1,-1,-1,-1,-1,00000000000000000,00000000,000000,0000,000
83,-9,-9,-9,-9,-9,-9,-9,?????????????????,????????,??????,????,???
,.,.,.,.,.,.,.,.,.,.,.,.
min,,-9,-9,-9,-9,-9,,,,,,
max,,16,7,4,2,1,,,,,,
,,,,,,,,,,,,
N(ëŒñ≥)ÇÕî™èdéRÇ»Ç«åÍì™ùõâπÇÃëŒóßÇ™Ç»Ç¢ínì_ÅB,,,,,,,.,.,.,.,.,.
N(ëŒóL)ÇÕâ´ìÍíÜìÏïîÇ»Ç«ùõâπÇ…ëŒóßÇ™Ç†ÇÈínì_ÅBNniÇ∆_Nni,,,,,,,-9,?????????????????,????????,??????,????,???
,,,,,,,-1,00000000000000000,00000000,000000,0000,000
,,,,,,,0,,,100001,1001,101
,,,,,,,1,10000000000000001,10000001,100010,1010,110
,,,,,,,2,10000000000000010,10000010,100100,1100,
,,,,,,,3,10000000000000100,10000100,101000,,
,,,,,,,4,10000000000001000,10001000,110000,,
,,,,,,,5,10000000000010000,10010000,,,
,,,,,,,6,10000000000100000,10100000,,,
,,,,,,,7,10000000001000000,11000000,,,
,,,,,,,8,10000000010000000,,,,
,,,,,,,9,10000000100000000,,,,
,,,,,,,10,10000001000000000,,,,
,,,,,,,11,10000010000000000,,,,
,,,,,,,12,10000100000000000,,,,
,,,,,,,13,10001000000000000,,,,
,,,,,,,14,10010000000000000,,,,
,,,,,,,15,10100000000000000,,,,
,,,,,,,16,11000000000000000,,,,